"repository_path","bytes","sha256"
".gitignore","501","6483d2a8b2006cce5977594ccff6af7ad46e4d90c05b17d83bdfd828eafeefaf"
"CHANGELOG.md","1322","b89b1c61e645a6f8f9a5aaf8509e1b47a552cf30dcd2262ab62c11f708c31e2b"
"CITATION.cff","844","02edf8408da8ebae9b63a4fff2c06cbcdfaeb72bc42597e82d6cc9e7c0145437"
"DATA_DICTIONARY.csv","14338","d700895ce2078109022d0e1b49a34fbbb693995afe6fb51f9b4c56dac424ec4f"
"DATA_LICENSE_CC_BY_4.0.md","808","297f68ae9adc6338b36f1725ae8a3cf128902538acdd0c1ee3c4ea96cf67f149"
"data/composition_program_association.csv","39940","6d8b3e6824f4b34db82a8e389305ff93c25efc2fe9f09aba337a18df08fc128a"
"data/conditional_member_stability.csv","385733","747f6cace6a5a7522be232eec8c52815e6e9de73dfdfa3242da70e636dc20c51"
"data/effect_strength_overlap_window_metrics.csv","937","f7a0e24c0c85185fbf3ffbcdccc8ad7001b97723c1040241f4abcc975145a5f5"
"data/effect_strength_stratified_metrics.csv","3473","6e46654b66b8d76c319ca5f6f8e2aa6aedf9a3c5062d1d6386909970d6e81124"
"data/effect_strength_summary.csv","488","22ecabdfa791729bfd2f7a504d29ebe92d1a7b9a9a683012e99faa5e5b270c29"
"data/equal_feature_count_diagnostic.csv","2293","b65a3f5132108c15b2f4d95f28562e5e6b8535b8e003511410c4200e427e37b8"
"data/estimability_flow_matrix.csv","603","adf59194879b5f8ee9eb405fdaacfb42ecbbc4fc2aac6b604ee5a439da513d5d"
"data/estimability_matrix.csv","1904","9e4407b7b2f1ee9c859801536ef5823d526634bde4433107801ced524d22f169"
"data/final_claim_decision_table.csv","4690","50949b308cfcb928721b5afc7ca1955b7702bfde090b1778ecd55942ec3d8876"
"data/gene_program_metric_comparison.csv","2709","51bb3b25f8f06ca9f12602ae3524d003098d46ccc9b61f7c202024eb0c290f5d"
"data/GSE205029_contrast_estimability.csv","387","64b2954cd73bcec89c895fc30d68fd847632d6bb38bcc5a5ee1ba578d585b9aa"
"data/GSE205029_wt_sample_eligibility.csv","657","7d6224cb79496d866fd540bbc86b9b1b2dd498220882926afa3756e6c51cc1bd"
"data/GSE304361_program_support_summary.csv","1491","4c8b4a1787d6af1fb7e31a753cdee9767d9effef6fb863da7ee836f8c86ab3dc"
"data/GSE47681_contrast_matrix.csv","122","dff99b6926e2fadc537891699f813738c60cf5789aba2e1330eb8f5a50cfb24c"
"data/GSE47681_design_matrix.csv","346","5348978ea46e944d086103c30fc44243167362e200475f6671aef477c26a5b66"
"data/GSE47681_frozen_reference_comparison.csv","1632","e35b19751e312c9e745594b4348b5c9e61980ef21148a1e6957f3a93b5ca2d53"
"data/GSE47681_gene_effects.csv","16006919","40755f2e36904b16f35ff9c3365a39adecd0d113e043ee8bae4b493826677ab8"
"data/GSE47681_hallmark_gsea.csv","71902","813a1e6f3a83cd0b19009a33702890a12b9c694482077297f3b9edeabe5537de"
"data/GSE47681_pairwise_reference_diagnostics.csv","1562","6d44528452bedf19f386db1fa0d561c8b3fe1a6f0b4d56fb96b3841044e8cc23"
"data/GSE47681_raw_intensity_quantiles.csv","779","2832647d7b68f7367ceae6b4b00e29f02670a44277e473be18447f4a6919919d"
"data/GSE47681_reconstruction_summary.csv","637","8fe95f0a3aaf08fcd977f538e0e75e0f81ffca1a87accc5fda4289a3a22929ae"
"data/GSE47681_RLE_diagnostics.csv","1485","32422f2fb70b9939657ea5a6e921efde533aeb71295bf942b7690512e9907a81"
"data/GSE47681_RMA_expression_quantiles.csv","2183","a73fc7714adc06efee574116ae23adb9e463ca04688d6db27f6a6d96fb6babc7"
"data/GSE47681_RMA_gene_expression.tsv.gz","2210889","630c0a6170fd81372d21d696da0004311f46a47498db081f117f7726408359b1"
"data/GSE47681_RMA_PCA_scores.csv","1401","cfbee1aecd1d4e923b0eba8bd4e6aa5821bbc12c36f5cae9c9348d0c5e46949b"
"data/GSE47681_RMA_PCA_variance.csv","339","4d5e83aa300e120a45dc9ceb490b4160c68bedda7e40c1f4bb8328edfd9b596d"
"data/GSE47681_RMA_sample_correlations.csv","3105","fb6963099b95629b2906ad81c0b448d1ccfdf1b7707629193a61e2befb7fdddc"
"data/GSE47681_selected_probe_by_gene.csv","1996416","72d448987c3227df599c867d9f9c466dc692e9872d1657b3113f6ce3f574c2f4"
"data/GSE47681_shared_feature_score_matrix.tsv.gz","2191617","093fe43d30aed99fc7b08d9d2db57df9e9ace54ee23db3e5d71b8fad390f0147"
