method,contrast_id,pathway,k,estimate,se_hksj,ci_low,ci_high,p,tau2,i2,q,q_p,prediction_low,prediction_high,max_weight_fraction,direction_concordance,all_study_effects_same_sign,study_effects,meta_fdr
GSVA,change_d7_minus_d1,HALLMARK_ALLOGRAFT_REJECTION,3,0.41656713834350284,0.51189529560486169,-1.785940552636663,2.6190748293236688,0.50125193870901152,0,0,0.47751198868444439,0.78760703950176525,-6.0876792910965358,6.920813567783541,0.38440700670126782,0.66666666666666663,False,GSE162610:0.409479111988;GSE234774:-0.0553771373279;GSE304399:0.800130553618,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_ANDROGEN_RESPONSE,3,-0.43850997768227074,0.51242022755409611,-2.6432762685467424,1.7662563131822011,0.48228983478005555,0,0,0.085678395746418487,0.95806543664100696,-6.949426299941841,6.0724063445772991,0.38438756485486408,1,True,GSE162610:-0.42246895588;GSE234774:-0.244693699278;GSE304399:-0.606557510206,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_ANGIOGENESIS,3,-0.29555620722984716,0.50908274741501558,-2.4859624800634195,1.8948500656037253,0.62023315308135418,0,0,0.13847049069978484,0.93310714514008208,-6.7640658235393438,6.1729534090796498,0.38451221344681663,1,True,GSE162610:-0.132702758927;GSE234774:-0.159405345714;GSE304399:-0.534863951411,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_APICAL_JUNCTION,3,-0.10627600251121996,0.50671753054862301,-2.2865055685381592,2.0739535635157194,0.85330001710015613,0,0,0.012342759966355539,0.99384762386884329,-6.5447326890708792,6.3321806840484394,0.38460206305128886,1,True,GSE162610:-0.0357406596637;GSE234774:-0.0960397716067;GSE304399:-0.170896898531,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_APICAL_SURFACE,3,-0.27311045054614475,0.50892035122824197,-2.462817988983395,1.9165970878911054,0.64521809193536783,0,0,0.35320093470084168,0.83811457177483373,-6.7395566276581214,6.1933357265658326,0.38451834202922919,0.66666666666666663,False,GSE162610:-0.357575232739;GSE234774:0.163674642425;GSE304399:-0.555082290784,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_APOPTOSIS,3,0.15299230350799811,0.50722924006618497,-2.0294389708715177,2.3354235778875139,0.79141133892719751,0,0,0.36792305474308962,0.83196781119945085,-6.2919662689472515,6.5979508759632486,0.3845825164047299,0.66666666666666663,False,GSE162610:0.558918915094;GSE234774:-0.224082572593;GSE304399:0.129907709575,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_BILE_ACID_METABOLISM,3,0.60155689801880763,0.51768631689914113,-1.6258675465412269,2.8289813425788424,0.36515129887979192,0,0,0.45807849157856795,0.7952973208215437,-5.9762714336178933,7.1793852296555078,0.38419582429120136,1,True,GSE162610:0.972903206014;GSE234774:0.103594061281;GSE304399:0.703029873756,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_CHOLESTEROL_HOMEOSTASIS,3,-0.80668240031203642,0.52615388861815937,-3.0705398654432541,1.4571750648191815,0.26495320798717076,0,0,0.5329919782962943,0.76605907626949765,-7.492101431828825,5.8787366312047524,0.38389963847293213,1,True,GSE162610:-1.11898391841;GSE234774:-0.234583863751;GSE304399:-1.01514969353,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_COAGULATION,3,0.25915071198723372,0.50870207289133673,-1.9296176505678861,2.4479190745423534,0.66109310536764343,0,0,0.32589651527611246,0.84963514940667839,-6.2045219758865535,6.7228233998610207,0.38452658887724656,0.66666666666666663,False,GSE162610:0.541731567423;GSE234774:-0.163370373839;GSE304399:0.371144906203,0.98074993317292436
GSVA,change_d7_minus_d1,HALLMARK_COMPLEMENT,3,0.45988487611944467,0.51274449615615902,-1.7462766299308652,2.6660463821697546,0.4644196024466471,0,0,0.71224817350681846,0.7003857062545038,-6.0551516693874508,6.9749214216263393,0.38437558513191039,0.66666666666666663,False,GSE162610:0.314742029;GSE234774:-0.0420643560628;GSE304399:0.978083349299,0.98074993317292436
